                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1338,                0.92796,                 1.1689,                 0.7363,                0.69815,                0.70768,                0.31716,                 2.5235,                 1.3068,                 2.1669,              0.0011585,              0.0011585,              0.0011585
                     36,                 1.2192,                0.94406,                 1.2032,                0.75979,                0.79112,                0.76184,                0.36467,                  2.364,                 1.1528,                 1.9577,              0.0011337,              0.0011337,              0.0011337
                     37,                 1.1674,                0.91571,                 1.1785,                0.76022,                0.79292,                0.74002,                0.35343,                 2.3268,                 1.1463,                 1.9913,               0.001109,               0.001109,               0.001109
                     38,                 1.1142,                0.88382,                 1.1766,                0.83615,                    0.8,                0.82329,                0.30473,                 2.5007,                  1.203,                 2.2499,              0.0010842,              0.0010842,              0.0010842
                     39,                  1.101,                0.85993,                 1.1393,                0.88511,                    0.9,                0.87358,                0.32776,                 2.4107,                 1.2835,                 2.2207,              0.0010595,              0.0010595,              0.0010595
                     40,                 1.0966,                0.84921,                 1.1304,                0.83918,                   0.85,                0.85893,                0.35047,                  2.348,                 1.2424,                 2.1256,              0.0010347,              0.0010347,              0.0010347
                     41,                 1.0867,                0.81962,                 1.1321,                 0.8072,                0.83779,                0.80869,                0.34779,                 2.3304,                 1.2306,                 2.0698,                0.00101,                0.00101,                0.00101
                     42,                 1.0836,                0.78524,                 1.1097,                0.74772,                0.74133,                0.71575,                0.30641,                 2.4011,                 1.4129,                  2.148,             0.00098525,             0.00098525,             0.00098525
                     43,                 1.1516,                 0.7878,                 1.1564,                0.72585,                    0.7,                0.70693,                0.29804,                 2.3934,                 1.3674,                 2.0957,              0.0009605,              0.0009605,              0.0009605
                     44,                 1.0813,                0.82741,                 1.1461,                0.89855,                 0.8862,                 0.8669,                 0.3412,                  2.361,                  1.237,                 2.0618,             0.00093575,             0.00093575,             0.00093575
                     45,                 1.1533,                0.83179,                 1.1533,                0.99342,                      1,                  0.995,                0.39562,                 2.2437,                 1.0936,                 1.9521,               0.000911,               0.000911,               0.000911
                     46,                 1.0725,                0.77731,                 1.1235,                0.91624,                   0.95,                0.93673,                0.36739,                 2.3667,                 1.1274,                 2.1025,             0.00088625,             0.00088625,             0.00088625
                     47,                 1.0636,                0.78984,                 1.1384,                0.79156,                    0.8,                0.76705,                0.28989,                 2.4624,                 1.1595,                 2.2148,              0.0008615,              0.0008615,              0.0008615
                     48,                 1.0711,                 0.7692,                 1.1271,                0.79927,                0.79653,                0.76578,                0.32542,                 2.3711,                 1.1468,                 2.0885,             0.00083675,             0.00083675,             0.00083675
                     49,                 1.0532,                0.77151,                 1.1302,                0.80868,                   0.85,                0.84219,                0.36242,                 2.2152,                 1.0599,                 1.9276,               0.000812,               0.000812,               0.000812
                     50,                    1.2,                0.80962,                 1.1611,                0.77991,                   0.75,                0.75383,                0.32967,                 2.1942,                 1.1317,                 1.9232,             0.00078725,             0.00078725,             0.00078725
                     51,                 1.0193,                0.71867,                 1.1013,                0.67862,                   0.65,                 0.7022,                0.29876,                  2.317,                 1.2439,                 2.0926,              0.0007625,              0.0007625,              0.0007625
                     52,                 1.0663,                0.77072,                 1.1448,                0.62727,                    0.6,                0.63045,                0.26873,                 2.4281,                 1.3387,                 2.2648,             0.00073775,             0.00073775,             0.00073775
                     53,                 1.0696,                0.74021,                 1.1206,                0.62684,                    0.6,                0.64889,                0.28898,                 2.4905,                 1.2965,                 2.3476,               0.000713,               0.000713,               0.000713
                     54,                 1.0498,                0.71273,                 1.1011,                0.72424,                    0.7,                0.76668,                0.34921,                 2.4573,                 1.1261,                 2.2593,             0.00068825,             0.00068825,             0.00068825
                     55,                 1.0054,                0.69366,                 1.0905,                0.81743,                    0.8,                0.83084,                0.37537,                 2.4197,                  1.128,                 2.2283,              0.0006635,              0.0006635,              0.0006635
                     56,                 1.0788,                 0.7717,                  1.158,                0.80368,                   0.85,                0.82716,                0.39034,                 2.3597,                 1.0735,                 2.1969,             0.00063875,             0.00063875,             0.00063875
                     57,                 1.0834,                0.80196,                 1.1557,                0.84921,                   0.85,                0.84262,                0.39151,                 2.3672,                 1.0747,                 2.2004,               0.000614,               0.000614,               0.000614
                     58,                 1.0332,                0.69689,                 1.1242,                0.84449,                   0.85,                0.80398,                0.37511,                 2.4348,                 1.0655,                 2.2265,             0.00058925,             0.00058925,             0.00058925
                     59,                0.94713,                0.68485,                 1.0773,                0.74849,                   0.75,                0.74921,                   0.36,                 2.4713,                 1.0153,                 2.2614,              0.0005645,              0.0005645,              0.0005645
                     60,                0.96319,                0.67937,                 1.0936,                0.74867,                   0.75,                0.76108,                0.36639,                 2.3948,                0.98984,                 2.1257,             0.00053975,             0.00053975,             0.00053975
                     61,                  0.949,                0.66695,                 1.0532,                0.80854,                0.84481,                0.83672,                0.38225,                  2.278,                0.97957,                 1.9899,               0.000515,               0.000515,               0.000515
                     62,                0.95169,                0.71057,                 1.0849,                0.79679,                    0.8,                0.80375,                0.36532,                 2.2721,                 1.0648,                 2.0078,             0.00049025,             0.00049025,             0.00049025
                     63,                 1.0008,                0.73031,                 1.0818,                0.79694,                    0.8,                0.80825,                0.35341,                  2.289,                 1.0936,                 2.0527,              0.0004655,              0.0004655,              0.0004655
                     64,                0.98818,                0.69063,                  1.085,                 0.7971,                    0.8,                0.80943,                0.32903,                 2.3284,                  1.027,                 2.0851,             0.00044075,             0.00044075,             0.00044075
                     65,                 1.0165,                0.68815,                 1.1023,                0.79705,                    0.8,                0.80023,                0.33629,                  2.317,                0.99224,                 2.0525,               0.000416,               0.000416,               0.000416
                     66,                0.96524,                0.66856,                 1.0637,                0.99604,                      1,                  0.995,                0.39706,                 2.2955,                0.89375,                 2.0088,             0.00039125,             0.00039125,             0.00039125
                     67,                0.94073,                0.64874,                 1.0646,                0.99599,                      1,                  0.995,                0.41391,                 2.3409,                0.87122,                 2.0486,              0.0003665,              0.0003665,              0.0003665
